Date,TotalAmount,Month,DayOfWeek,IsWeekend,Lag_1,Lag_7,Rolling_Mean_7
2011-11-20,29642.39,11,6,1,36606.25,36932.07,43518.99857142857
2011-11-21,45202.01,11,0,0,29642.39,28416.010000000002,45916.99857142857
2011-11-22,49438.55,11,1,0,45202.01,58595.22,44608.90285714286
2011-11-23,71722.75,11,2,0,49438.55,47535.51,48064.22285714286
2011-11-24,38359.69,11,3,0,71722.75,48154.12,46665.01857142857
2011-11-25,26542.33,11,4,0,38359.69,55683.49,42501.99571428572
2011-11-27,16969.25,11,6,1,26542.33,36606.25,39696.71000000001
2011-11-28,51632.21,11,0,0,16969.25,29642.39,42838.112857142856
2011-11-29,48640.57,11,1,0,51632.21,45202.01,43329.33571428571
2011-11-30,41396.79,11,2,0,48640.57,49438.55,42180.51285714286
2011-12-01,44405.37,12,3,0,41396.79,71722.75,38278.030000000006
2011-12-02,44526.1,12,4,0,44405.37,38359.69,39158.94571428571
2011-12-04,20232.0,12,6,1,44526.1,26542.33,38257.469999999994
2011-12-05,58081.090000000004,12,0,0,20232.0,16969.25,44130.590000000004
2011-12-06,45989.66,12,1,0,58081.090000000004,51632.21,43324.51142857143
2011-12-07,69230.6,12,2,0,45989.66,48640.57,46265.944285714286
2011-12-08,50395.96,12,3,0,69230.6,41396.79,47551.54
2011-12-09,184329.66,12,4,0,50395.96,44405.37,67540.7242857143
